,name,doctor,funding_employees_ratio,has_super_founder,has_strong_founder,growth_stage_num,target,pca_0,pca_1,pca_2,pca_3
303,Muquans,0,42417.857142857145,0,0,2.0,1,-0.123768497549344,-0.12187936315406336,-0.178703994828147,-0.1222454449827836
304,My brain,0,0.0,0,0,2.0,1,0.034854902528700875,1.0262865143456377,0.4736705260829659,-0.14592912524377577
305,Mycophyto,1,350000.0,0,0,1.0,1,-0.16921285172923076,-0.11855648970716443,-0.12760323168708798,-0.13549096708661232
306,Myenterix,0,38994.8,0,0,3.0,1,-0.05664262049525811,-0.39796464275363497,0.6169627098538919,0.07775232800169701
307,MyoPowers Medical Technologies,0,2720779.1428571427,0,0,1.0,1,0.18459669157212028,-0.34044851338044413,1.04444013402816,0.5464004705741012
308,Naïo Technologies,0,261972.23684210525,0,0,3.0,1,-0.04860106583819733,-0.0890681446702535,-0.12732901681293893,-0.08059119601818665
309,Nanogen Pharmaceutical Biotechnology,0,38994.8,0,0,3.0,1,-0.04659799959433592,-0.4323202975631225,0.8218813762466863,0.10814127470793859
310,Navee,0,0.0,0,0,1.0,1,-0.14321937304941404,-0.11827285647666391,-0.13802801168559709,-0.12958916514988114
311,Navya,0,249416.34241245137,1,1,3.0,1,1.8411437929209185,0.024487490096255348,-0.5681829857733629,-0.33832423625841185
312,Neoplants,0,0.0,0,0,1.0,1,-0.05664262049525811,-0.39796464275363497,0.6169627098538919,0.07775232800169701
313,NeoVirTech,0,38994.8,0,0,3.0,1,-0.057783254534860364,-0.41164428215442944,0.6405092325629238,0.09140174182342219
314,Neta Tech,0,0.0,0,0,1.0,1,-0.1293918927384048,-0.11477667924878202,-0.058660455749377755,-0.12910800707218056
315,NETRI,0,38994.8,0,0,1.0,1,-0.16793496546377798,-0.11765145771904596,-0.1264096425122322,-0.13384439444810253
316,Neuradom,0,27272.666666666668,0,0,1.0,1,-0.16793496546377798,-0.11765145771904596,-0.1264096425122322,-0.13384439444810253
317,Neurallys,0,0.0,0,0,1.0,1,-0.15580369614350562,-0.177380707286403,0.04997634797431811,-0.02507601452183058
318,Neurophoenix,0,0.0,0,0,1.0,1,-0.05664262049525811,-0.39796464275363497,0.6169627098538919,0.07775232800169701
319,Nextmind,0,696969.6666666666,0,0,2.0,1,-0.0376558050972278,-0.45797872058088457,0.8183790056956735,0.19903696400179635
320,NEXXAI,0,0.0,0,0,1.0,1,-0.14394965108421803,0.09599434782511722,-0.1253179762324248,0.13827670171336745
321,Nixys,0,50000.0,0,0,1.0,1,-0.1443777662735992,-0.22082847974777484,-0.0010847499712351514,-0.014688811989019902
322,Nodea Medical,0,38994.8,0,0,3.0,1,-0.16793496546377798,-0.11765145771904596,-0.1264096425122322,-0.13384439444810253
323,Novadiscovery,0,142432.43243243243,1,1,2.0,1,-0.1508793335242801,-0.10457059927924622,-0.09796391570248812,-0.11287043378968578
324,Novae,0,250000.0,0,0,1.0,1,-0.18154946597679608,-0.1263949085947537,-0.13164494277573568,-0.14992425925612218
325,NovaGray,0,25000.0,0,0,1.0,1,0.037840201762936176,-0.5168792673273795,1.2145621704234117,0.27882012179122206
326,NukkAI,0,164285.7142857143,0,0,1.0,1,-0.17052600157752723,-0.11163569490572854,-0.12903664543754134,-0.11983523515273359
327,Nutri'Earth,0,400000.0,0,0,1.0,1,1.5827254827772121,-0.32071556976553695,-0.42656273458893407,-0.4837266102504533
328,Nyctale,0,333333.3333333333,0,0,1.0,1,-0.02265118188349015,0.6116460850299973,0.10263222868447772,-0.02237313407133614
329,OLENERGIES,0,125000.0,0,0,1.0,1,-0.05572676178457808,-0.05714936804579372,-0.3939065308830036,0.7213311597272006
330,Olikrom,0,307692.3076923077,0,0,2.0,1,-0.057441732509593474,-0.058504461190748515,-0.3988663447626153,0.728649062133459
331,Olvid,0,0.0,0,0,1.0,1,-0.16793496546377798,-0.11765145771904596,-0.1264096425122322,-0.13384439444810253
332,OncoDiag,0,38994.8,0,0,4.0,1,-0.06855561018287001,-0.19772449672322034,0.32015109352028615,-0.01843565873745276
333,Onhys,0,41666.666666666664,0,0,2.0,1,-0.10107031530108444,-0.09627489895648925,-0.15004282850595313,-0.14664167429853409
334,Orixha,0,0.0,1,1,1.0,1,-0.16793496546377798,-0.11765145771904596,-0.1264096425122322,-0.13384439444810253
335,Orok,0,0.0,0,0,1.0,1,-0.16793496546377798,-0.11765145771904596,-0.1264096425122322,-0.13384439444810253
336,Orosound,0,37777.77777777778,0,0,2.0,1,-0.0516108836310997,-0.030232631270442494,-0.4098289282177753,0.7664646453217052
337,Osivax,0,1734615.3846153845,1,1,2.0,1,-0.036951021722938654,-0.4113301170726251,0.6622310579345962,0.07946086188720591
338,Outsight,0,757575.75,1,1,2.0,1,0.7009765644509541,-0.2108864184730177,-0.23564631346212295,-0.21271027689950103
339,Owkin,0,528682.1705426356,1,1,3.0,1,0.027530899690274432,-0.4415200279688113,1.2794648545861422,0.49863608598560094
340,Oxiproteomics sas,0,0.0,0,0,1.0,1,-0.05664262049525811,-0.39796464275363497,0.6169627098538919,0.07775232800169701
341,Pasqal,0,0.0,0,0,1.0,1,-0.17548825150391414,-0.03393652821060089,-0.11932301255550218,-0.1135064310431436
342,Pep-Therapy,0,416666.6666666667,0,0,1.0,1,-0.0304484385883395,-0.48005733559214875,0.9523367406344725,0.1659299694729458
343,Peptimimesis,0,986363.5,0,0,1.0,1,-0.17027673178390804,-0.044498183387403675,-0.13719726056403286,-0.07455397136275953
344,Percipio Robotics S.A.,0,6875.0,0,0,2.0,1,-0.16793496546377798,-0.11765145771904596,-0.1264096425122322,-0.13384439444810253
345,Percko,0,0.0,0,0,2.0,1,-0.05572676178457808,-0.05714936804579372,-0.3939065308830036,0.7213311597272006
346,Phenocell,0,63341.666666666664,0,0,1.0,1,-0.014691750490839038,-0.477621803295296,0.9130248091455694,0.13125141526037107
348,Phost’in,0,2575000.0,0,0,1.0,1,-0.030466580862638856,-0.4488412097922383,0.83032551734609,0.1349756993697501
349,Pili,0,381250.0,0,0,2.0,1,-0.05795571286763078,-0.40729216448195465,0.6347755319055329,0.08069520423516849
350,Pixmap,0,0.0,0,0,1.0,1,-0.06342707839299623,0.5319471343859952,0.11122224474618823,-0.19268144510115098
351,Pixyl,0,41666.666666666664,0,0,2.0,1,-0.016013548612941776,-0.26557791568527833,0.7987719563688207,0.37856678119840603
352,PKparis,0,210000.0,0,0,1.0,1,-0.1412756424865815,-0.025885344741394947,-0.1333055650887973,-0.11704016668079463
353,Plasmabiotics,0,38994.8,0,0,3.0,1,-0.11849902523898397,-0.08306178820639815,-0.1078304307130099,-0.1522073284283861
354,Poietis,0,134936.21951219512,1,1,2.0,1,-0.0773631778231104,-0.48244536127098375,0.8089743639802047,0.10593487151130045
355,Polygon Physics SAS,0,25714.285714285714,0,0,1.0,1,-0.16793496546377798,-0.11765145771904596,-0.1264096425122322,-0.13384439444810253
356,Poxel,0,1183090.9,0,0,2.0,1,0.10956150756053246,-0.2982736031289412,0.8435345286902031,0.2904005797659414
357,PRAGMA Therapeutics,0,780000.0,0,0,1.0,1,-0.05664262049525811,-0.39796464275363497,0.6169627098538919,0.07775232800169701
358,Precogs,0,0.0,0,0,2.0,1,-0.16028380571316686,-0.0744060981456552,-0.10247703737579275,-0.12384154262191692
360,Prestodiag,0,0.0,0,0,1.0,1,-0.05664262049525811,-0.39796464275363497,0.6169627098538919,0.07775232800169701
361,Prevision.io,0,62500.0,0,0,2.0,1,0.32338094904228326,1.6368587364648557,0.05357111302909015,0.701824367131439
362,Primo1D,0,38994.8,0,0,2.0,1,-0.06104471739099096,-0.04973761365094419,-0.4080568897230648,0.7654242256361791
363,ProGeLife,0,36363.63636363636,0,0,2.0,1,-0.00533885658686954,-0.5250783804904106,1.1421863646186767,0.21063553953718545
364,Prophesee,1,632301.7340425532,1,1,3.0,1,-0.010667267902672145,-0.10376196270444232,-0.20783588153543578,-0.0931262474697883
365,QantEv,0,38994.8,0,0,1.0,1,-0.04206499826952794,0.6617981570535885,0.120502149692443,-0.01533086114214198
366,Qapa,0,102419.35483870968,1,1,3.0,1,-0.17714860448807893,0.0958138912499325,-0.09875742340593424,-0.10360785883151911
